indice_tiempo,estacionales,ipc_nucleo,ipc_regulados
2023-11-01,0.1280823056057483,0.134036155012214,0.10056235889450726
2023-12-01,0.16229288187371593,0.2825875987091053,0.20679933015519825
2024-01-01,0.16207762605895404,0.2021648871207129,0.2657193595980145
2024-02-01,0.08693508975351438,0.12290140839705677,0.21106121889298324
2024-03-01,0.11142630726486935,0.0941204797536992,0.18126817923582839
2024-04-01,0.09946923329538615,0.06298438398652029,0.18394088937479136
2024-05-01,0.07164153390205996,0.037346867424331354,0.04017450817261081
2024-06-01,0.044458627246519056,0.036511302858435624,0.08056568242069662
2024-07-01,0.05075139144443064,0.03785587928895651,0.04332272898472689
2024-08-01,0.015275183973345818,0.041202855730913646,0.058897168076665674
2024-09-01,0.029391660114567397,0.03262205751650904,0.04531648813386213
2024-10-01,0.013624749810563275,0.029178168076062105,0.026962073534600783
