fecha,p10,p25,w_mean,w_median,p75,p90,p99
2022-06-01,57329,110084,224731,178993,272534,415518,1069754
2022-07-01,45085,86039,172327,136607,210209,317764,775951
2022-08-01,46808,89441,178834,142922,218656,330084,807199
2022-09-01,51487,97064,193070,154567,234389,350721,885144
2022-10-01,55113,104540,209134,166313,253573,385694,949359
2022-11-01,57651,110800,223239,178764,271542,410127,1007255
2022-12-01,82670,165037,340181,272774,415142,628047,1618980
2023-01-01,62839,123896,260111,203758,310612,470851,1317082
2023-02-01,67882,131163,258948,208163,319549,475566,1146786
2023-03-01,78688,151457,299603,236607,363142,543602,1377481
2023-04-01,80247,157196,314367,253702,385120,577004,1401489
2023-05-01,84512,172359,335415,274838,413712,611807,1459250
2023-06-01,124747,245212,506874,406402,615734,932966,2436163
2023-07-01,100141,203010,404539,326343,499557,744212,1792241
2023-08-01,100000,209628,424308,346045,525748,786689,1858835
2023-09-01,121966,246691,482604,394307,591799,882109,2120870
2023-10-01,123381,255157,518127,412679,635793,966846,2413684
2023-11-01,128973,269157,559491,445724,688717,1049973,2567518
